+--------------------------+--------------------------+-------+
| Batter                   | Fielder                  | Count |
| Gordon Greenidge         | Allan Border             | 2     |
| Mansoor Akhtar           | Geoff Lawson             | 2     |
| Graeme Wood              | Sir Clive Lloyd          | 2     |
| Allan Border             | Joel Garner              | 2     |
| Rod Marsh                | Gordon Greenidge         | 2     |
| Gordon Greenidge         | Graeme Wood              | 2     |
| Kim Hughes               | Sir Clive Lloyd          | 2     |
| David Hookes             | Gordon Greenidge         | 2     |
| Kapil Dev                | Graham Gooch             | 2     |
| Greg Chappell            | Geoff Howarth            | 2     |
| Martin Crowe             | Kim Hughes               | 2     |
| Ian Smith                | Allan Border             | 2     |
| David Gower              | Dilip Vengsarkar         | 2     |
| Kapil Dev                | David Gower              | 2     |
| Wasim Raja               | Sir Ian Botham           | 2     |
| Imran Khan               | David Gower              | 2     |
| Dilip Vengsarkar         | Ravi Ratnayeke           | 2     |
| Roy Dias                 | Dilip Doshi              | 2     |
| Sandeep Patil            | Mohsin Khan              | 2     |
| Kapil Dev                | Mansoor Akhtar           | 2     |
| Sandeep Patil            | Javed Miandad            | 2     |
| John Dyson               | Derek Randall            | 2     |
| John Wright              | Derek Randall            | 2     |
| Allan Lamb               | Jeff Crowe               | 2     |
| Derek Randall            | Geoff Howarth            | 2     |
| David Gower              | John Wright              | 2     |
| Viv Richards             | Anshuman Gaekwad         | 2     |
| Yashpal Sharma           | Desmond Haynes           | 2     |
| Duleep Mendis            | Sir Richard Hadlee       | 2     |
| Sir Richard Hadlee       | Ravi Ratnayeke           | 2     |
| Sir Clive Lloyd          | Mohinder Amarnath        | 2     |
| Sunil Gavaskar           | Viv Richards             | 2     |
| Rumesh Ratnayake         | Mudassar Nazar           | 2     |
| Rod Marsh                | Desmond Haynes           | 2     |
| Brendon Kuruppu          | Mike Gatting             | 2     |
| Arjuna Ranatunga         | Allan Lamb               | 2     |
| Kris Srikkanth           | Iain Butchart            | 2     |
| Geoff Howarth            | Ranjan Madugalle         | 2     |
| Graeme Fowler            | Javed Miandad            | 2     |
| Sir Richard Hadlee       | Ranjan Madugalle         | 2     |
| Ashantha de Mel          | Allan Lamb               | 2     |
